jobType,jobNo,jobName,jobNameSnippet,jobRole,jobRo,jobAddrNo,jobAddrNoDesc,jobAddress,description,descWithoutHighlight,optionEdu,period,periodDesc,applyCnt,applyType,applyDesc,custNo,custName,coIndustry,coIndustryDesc,salaryLow,salaryHigh,salaryDesc,s10,appearDate,appearDateDesc,optionZone,isApply,applyDate,userApplyCount,isSave,descSnippet,tags,landmark,link,jobsource,jobNameRaw,custNameRaw,lon,lat,remoteWorkType,major,salaryType,dist,mrt,mrtDesc,isActivelyHiring
1,11867437,RD 網頁/PHP工程師【歡迎應屆畢業生】,RD 網頁/PHP工程師【歡迎應屆畢業生】,1,1,6001001001,台北市中正區,羅斯福路二段100號10樓,"開發web/手機遊戲
－ 遊戲功能開發
－ 活動開發及官網維護
－ 資料庫操作及數據處理

【應徵條件】
－ 熟悉 PHP/JavaScript/C/Java/Python 任一皆可
－ 熟悉 任一SQL

★想要更加了解慧邦科技嗎？歡迎到gamesofa careers看看！
https://www.facebook.com/GamesofaCareers/","開發web/手機遊戲
－ 遊戲功能開發
－ 活動開發及官網維護
－ 資料庫操作及數據處理

【應徵條件】
－ 熟悉 PHP/JavaScript/C/Java/Python 任一皆可
－ 熟悉 任一SQL

★想要更加了解慧邦科技嗎？歡迎到gamesofa careers看看！
https://www.facebook.com/GamesofaCareers/",專科,00,經歷不拘,00011,3,11~30人應徵,27767168000,神來也麻將_慧邦科技股份有限公司,1001001003,網際網路相關業,0000000,0000000,待遇面議,10,20250609,6/09,4096,0,,0,0,"開發web/手機遊戲
－ 遊戲功能開發
－ 活動開發及官網維護
－ 資料庫操作及數據處理

【應徵條件】
－ 熟悉 PHP/JavaScript/C/Java/Python 任一皆可
－ 熟悉 任一SQL

★想要更加了解慧邦科技嗎？歡迎到gamesofa careers看看！
https://www.facebook.com/GamesofaCareers/","{'emp': {'desc': '員工250人', 'param': '7'}}",距捷運古亭站約50公尺,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/72cz1?channel=104rpt&jobsource=hotjob_chr', 'job': '//www.104.com.tw/job/72cz1?jobsource=hotjob_chr', 'cust': '//www.104.com.tw/company/cr7ury8?jobsource=hotjob_chr'}",hotjob_chr,RD 網頁/PHP工程師【歡迎應屆畢業生】,神來也麻將_慧邦科技股份有限公司,121.5223326,25.0267506,0,"['資訊工程相關', '資訊管理相關', '其他數學及電算機科學相關']",,0.05,99001003010,捷運古亭站,True
1,14022403,⾃動化設備-FAE⼯程師(彰化),⾃動化設備-FAE⼯程師(彰化),1,1,6001010023,彰化縣二林鎮,,"1客戶端應用問題解決，提供第一線客戶技術友援，具SI整合能力佳。
2客戶相關技術問題回覆，產品應用導入。
3協助團隊與客戶間的技術問題聯絡協調應對及提供售後的技術支援。
4客訴問題分析與解決。
5具備影像處理、機器人周邊技術開發經驗、熟程式語言python, C++, C#者佳。
6具嵌入式系統相關經驗。
7具自動化設備經驗，對自動化設備開發有熱情、有興趣。
8需配合客戶駐廠。
9細心及負責任態度。
10主管交辦事項。
","1客戶端應用問題解決，提供第一線客戶技術友援，具SI整合能力佳。
2客戶相關技術問題回覆，產品應用導入。
3協助團隊與客戶間的技術問題聯絡協調應對及提供售後的技術支援。
4客訴問題分析與解決。
5具備影像處理、機器人周邊技術開發經驗、熟程式語言python, C++, C#者佳。
6具嵌入式系統相關經驗。
7具自動化設備經驗，對自動化設備開發有熱情、有興趣。
8需配合客戶駐廠。
9細心及負責任態度。
10主管交辦事項。
",專科,00,經歷不拘,0,1,0~5人應徵,130000000072555,易捷系統股份有限公司,1001003003,消費性電子產品製造業,0000000,0000000,待遇面議,10,20250605,6/05,0,0,,0,0,"1客戶端應用問題解決，提供第一線客戶技術友援，具SI整合能力佳。
2客戶相關技術問題回覆，產品應用導入。
3協助團隊與客戶間的技術問題聯絡協調應對及提供售後的技術支援。
4客訴問題分析與解決。
5具備影像處理、機器人周邊技術開發經驗、熟程式語言python, C++, C#者佳。
6具嵌入式系統相關經驗。
7具自動化設備經驗，對自動化設備開發有熱情、有興趣。
8需配合客戶駐廠。
9細心及負責任態度。
10主管交辦事項。
","{'emp': {'desc': '員工85人', 'param': '5'}}",,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8cjr7?channel=104rpt&jobsource=hotjob_chr', 'job': '//www.104.com.tw/job/8cjr7?jobsource=hotjob_chr', 'cust': '//www.104.com.tw/company/1a2x6bjjaj?jobsource=hotjob_chr'}",hotjob_chr,⾃動化設備-FAE⼯程師(彰化),易捷系統股份有限公司,120.4011911,23.9141358,0,"['電機電子工程相關', '機械工程相關', '材料工程相關']",,,,,False
2,14646910,Python後端工程師(台北),<em class='b-txt--highlight'>Python</em>後端工程師(台北),1,1,6001002011,新北市新店區,中興路一段222號,"1. 負責前研AI相關應用的技術及完成最小可行性驗證。
2. 負責以[[[Python]]]開發後端服務，提供AI助理關鍵能力。
3. 與Java開發團隊協作，完成AI助理功能開發。","1. 負責前研AI相關應用的技術及完成最小可行性驗證。
2. 負責以Python開發後端服務，提供AI助理關鍵能力。
3. 與Java開發團隊協作，完成AI助理功能開發。",大學,04,3年以上,00009,2,6~10人應徵,28682266000,鼎新數智股份有限公司,1001001002,電腦軟體服務業,0000000,0000000,待遇面議,10,20250609,6/09,2364032,0,,0,0,"1. 負責前研AI相關應用的技術及完成最小可行性驗證。
2. 負責以<em class='b-txt--highlight'>Python</em>開發後端服務，提供AI助理關鍵能力。
3. 與Java開發團隊協作，完成AI助理功能開發。","{'emp': {'desc': '員工1800人', 'param': '8'}}",距捷運新店區公所站約350公尺,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8pxmm?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8pxmm?jobsource=n104bank2', 'cust': '//www.104.com.tw/company/d6coi34?jobsource=n104bank2'}",,Python後端工程師(台北),鼎新數智股份有限公司,121.5442394,24.9658447,0,"['資訊管理相關', '資訊工程相關', '其他數學及電算機科學相關']",,0.35,99001003002,捷運新店區公所站,False
0,14158015,Home Assistant / Python工程師 (台中),Home Assistant / <em class='b-txt--highlight'>Python</em>工程師 (台中),1,1,6001008010,台中市大里區,夏元路6號,"經驗。
■ 熟悉 熟悉不同設備和服務的 API 整合，能夠編寫自定義組件或整合現有服務。
■ 熟悉 JavaScript ，2年以上相關開發經驗。
■ 熟悉 [[[Python]]]，2年以上相關開發經驗。
■ 熟悉 SQL，Home Assistant 可以","經驗。
■ 熟悉 熟悉不同設備和服務的 API 整合，能夠編寫自定義組件或整合現有服務。
■ 熟悉 JavaScript ，2年以上相關開發經驗。
■ 熟悉 Python，2年以上相關開發經驗。
■ 熟悉 SQL，Home Assistant 可以",大學,04,3年以上,00004,1,0~5人應徵,130000000224335,瑞司智慧整合股份有限公司,1001001001,電腦系統整合服務業,0050000,0110000,"月薪50,000~110,000元",50,20250421,4/21,0,0,,0,0,"經驗。
■ 熟悉 熟悉不同設備和服務的 API 整合，能夠編寫自定義組件或整合現有服務。
■ 熟悉 JavaScript ，2年以上相關開發經驗。
■ 熟悉 <em class='b-txt--highlight'>Python</em>，2年以上相關開發經驗。
■ 熟悉 SQL，Home Assistant 可以","{'emp': {'desc': '員工30人', 'param': '4'}}",,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8fge7?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8fge7?jobsource=n104bank2', 'cust': '//www.104.com.tw/company/1a2x6bmsen?jobsource=n104bank2'}",,Home Assistant / Python工程師 (台中),瑞司智慧整合股份有限公司,120.6785364,24.0910696,0,"['資訊工程相關', '其他數學及電算機科學相關', '一般數學相關']",M,,,,False
0,14657923,Python 全端工程師,<em class='b-txt--highlight'>Python</em> 全端工程師,1,1,6001001003,台北市中山區,長安東路一段18號6F,"[[[Python]]] fullstack Engineer 全端工程師
Riversoft, with an AI team, offers a dynamic startup environment that fosters exceptional","Python fullstack Engineer 全端工程師
Riversoft, with an AI team, offers a dynamic startup environment that fosters exceptional",大學,04,3年以上,00007,2,6~10人應徵,130000000005993,長川資訊股份有限公司,1001001002,電腦軟體服務業,0050000,9999999,"月薪50,000元以上",50,20250523,5/23,0,0,,0,0,"<em class='b-txt--highlight'>Python</em> fullstack Engineer 全端工程師
Riversoft, with an AI team, offers a dynamic startup environment that fosters exceptional","{'emp': {'desc': '員工26人', 'param': '3'}}",距捷運中山站約500公尺,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8q64j?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8q64j?jobsource=n104bank2', 'cust': '//www.104.com.tw/company/1a2x6bi3xl?jobsource=n104bank2'}",,Python 全端工程師,長川資訊股份有限公司,121.5236027,25.049198,0,[],M,0.5,99001003015,捷運中山站,False
0,14642330,Python 工程師,<em class='b-txt--highlight'>Python</em> 工程師,1,1,6001001005,台北市大安區,敦化南路二段105號18樓,"徵才條件
1. 精通[[[Python]]]程式，開發交易策略
2. 具備金融領域系統介接經驗（如：交易系統、帳務)
3. 熟悉常用金融套件
4. 熟悉量化交易概念與金融商品
5. 具備策略回測開發與參數優化的經驗","徵才條件
1. 精通Python程式，開發交易策略
2. 具備金融領域系統介接經驗（如：交易系統、帳務)
3. 熟悉常用金融套件
4. 熟悉量化交易概念與金融商品
5. 具備策略回測開發與參數優化的經驗",專科,03,2年以上,00008,2,6~10人應徵,13035663000,百商數位科技股份有限公司,1001001003,網際網路相關業,0000000,0000000,待遇面議,10,20250611,6/11,512,0,,0,0,"徵才條件
1. 精通<em class='b-txt--highlight'>Python</em>程式，開發交易策略
2. 具備金融領域系統介接經驗（如：交易系統、帳務)
3. 熟悉常用金融套件
4. 熟悉量化交易概念與金融商品
5. 具備策略回測開發與參數優化的經驗","{'emp': {'desc': '員工110人', 'param': '6'}}",,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8pu3e?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8pu3e?jobsource=n104bank2', 'cust': '//www.104.com.tw/company/5zl3hy0?jobsource=n104bank2'}",,Python 工程師,百商數位科技股份有限公司,121.5491231,25.0283841,0,[],,,,,True
0,14432011,"軟體工程師(C#, Python, Labview)","軟體工程師(C#, <em class='b-txt--highlight'>Python</em>, Labview)",1,1,6001006005,新竹縣新埔鎮,義民路三段156巷8號,"工作內容:
1. 軟體程式設計規劃
2. 自動控制、AOI、定位演算、雷射光學開發應用
3. RS232、TCP/IP通訊元件測試、開發
4. 訊號量測及資料處理與數據分析
5. 其他專案及主管交辦事項


熟悉測試設備儀器系統整合開發
具自動化設備及AOI開發經驗者佳","工作內容:
1. 軟體程式設計規劃
2. 自動控制、AOI、定位演算、雷射光學開發應用
3. RS232、TCP/IP通訊元件測試、開發
4. 訊號量測及資料處理與數據分析
5. 其他專案及主管交辦事項


熟悉測試設備儀器系統整合開發
具自動化設備及AOI開發經驗者佳",大學,02,1年以上,00004,1,0~5人應徵,130000000046040,博隆精密科技股份有限公司,1001004001,光電產業,0040000,0100000,"月薪40,000~100,000元",50,20250604,6/04,262144,0,,0,0,"工作內容:
1. 軟體程式設計規劃
2. 自動控制、AOI、定位演算、雷射光學開發應用
3. RS232、TCP/IP通訊元件測試、開發
4. 訊號量測及資料處理與數據分析
5. 其他專案及主管交辦事項


熟悉測試設備儀器系統整合開發
具自動化設備及AOI開發經驗者佳",[],,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8lbt7?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8lbt7?jobsource=n104bank2', 'cust': '//www.104.com.tw/company/1a2x6biyu0?jobsource=n104bank2'}",,"軟體工程師(C#, Python, Labview)",博隆精密科技股份有限公司,121.0412816,24.8417882,0,[],M,,,,False
0,13309818,Python 開發工程師,<em class='b-txt--highlight'>Python</em> 開發工程師,1,1,6001005001,桃園市中壢區,明德路60號5樓,"設計和開發[[[Python]]]應用程式
[[[Python]]]開發工程師的主要職責是設計和開發各類[[[Python]]]應用程式，包括Web應用程式、數據分析應用程式、機器學習應用程式等。特別需要對API伺服器、Langchain、AI-Agent和GraphRAG有深入理","設計和開發Python應用程式
Python開發工程師的主要職責是設計和開發各類Python應用程式，包括Web應用程式、數據分析應用程式、機器學習應用程式等。特別需要對API伺服器、Langchain、AI-Agent和GraphRAG有深入理",專科,03,2年以上,00004,1,0~5人應徵,130000000157803,雲育鏈股份有限公司,1001001006,其它軟體及網路相關業,0000000,0000000,待遇面議,10,20250609,6/09,0,0,,0,0,"設計和開發<em class='b-txt--highlight'>Python</em>應用程式
<em class='b-txt--highlight'>Python</em>開發工程師的主要職責是設計和開發各類<em class='b-txt--highlight'>Python</em>應用程式，包括Web應用程式、數據分析應用程式、機器學習應用程式等。特別需要對API伺服器、Langchain、AI-Agent和GraphRAG有深入理","{'emp': {'desc': '員工10人', 'param': '3'}}",距捷運老街溪站約480公尺,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/7x9x6?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/7x9x6?jobsource=n104bank2', 'cust': '//www.104.com.tw/company/1a2x6bld2j?jobsource=n104bank2'}",,Python 開發工程師,雲育鏈股份有限公司,121.2162108,24.9563375,0,[],,0.48,99002001022,捷運老街溪站,False
0,10703416,Senior Data Scientist 資料科學家(Python),Senior Data Scientist 資料科學家(<em class='b-txt--highlight'>Python</em>),1,1,6001001007,台北市信義區,東興路51號4樓," proficiency in [[[Python]]], Pandas, NumPy, and Scikit-Learn
-Experience with production-grade machine learning solutions

Join Us"," proficiency in Python, Pandas, NumPy, and Scikit-Learn
-Experience with production-grade machine learning solutions

Join Us",大學,04,3年以上,00001,1,0~5人應徵,53550539000,行動貝果有限公司,1001001005,數位內容產業,0000000,0000000,待遇面議,10,20250611,6/11,0,0,,0,0," proficiency in <em class='b-txt--highlight'>Python</em>, Pandas, NumPy, and Scikit-Learn
-Experience with production-grade machine learning solutions

Join Us","{'emp': {'desc': '員工90人', 'param': '5'}}",距捷運南京三民站約500公尺,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/6det4?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/6det4?jobsource=n104bank2', 'cust': '//www.104.com.tw/company/olmlwc8?jobsource=n104bank2'}",,Senior Data Scientist 資料科學家(Python),行動貝果有限公司,121.5665155,25.047665,0,[],,0.5,99001003019,捷運南京三民站,False
0,14670350,Python工程師-3,<em class='b-txt--highlight'>Python</em>工程師-3,1,1,6001001005,台北市大安區,,"【必備條件】
1. 擁有三年以上的產品開發與工作經驗
2. 熟悉 [[[Python]]] FastAPI/ Django / Django rest framework 框架且有開發經驗
3. 具備分析雲端系統架構與效能調校經驗
4. 熟悉一套關聯式資料庫","【必備條件】
1. 擁有三年以上的產品開發與工作經驗
2. 熟悉 Python FastAPI/ Django / Django rest framework 框架且有開發經驗
3. 具備分析雲端系統架構與效能調校經驗
4. 熟悉一套關聯式資料庫",專科,04,3年以上,00008,2,6~10人應徵,130000000186451,宏益科技服務股份有限公司,1001001002,電腦軟體服務業,0000000,0000000,待遇面議,10,20250609,6/09,0,0,,0,0,"【必備條件】
1. 擁有三年以上的產品開發與工作經驗
2. 熟悉 <em class='b-txt--highlight'>Python</em> FastAPI/ Django / Django rest framework 框架且有開發經驗
3. 具備分析雲端系統架構與效能調校經驗
4. 熟悉一套關聯式資料庫","{'emp': {'desc': '員工75人', 'param': '5'}}",,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8qfpq?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8qfpq?jobsource=n104bank2', 'cust': '//www.104.com.tw/company/1a2x6blz6b?jobsource=n104bank2'}",,Python工程師-3,宏益科技服務股份有限公司,121.5433783,25.0249441,0,[],,,,,False
